id,tray,well,order,family,taxon_name,siteID,genus_taxized,n,n_wolbachia,short_taxon,note
LECO_A65_Allo,A,65,Plecoptera,Chloroperlidae,Alloperla sp.,LECO,Alloperla,8,2,Allo,sent to Scot on June 25 2021
BIGC_A71_Tipu,A,71,Diptera,Tipulidae,Tipulidae sp.,BIGC,NA,7,3,Tipu,sent to Scot on June 25 2021
BIGC_A72_Cord,A,72,Odonata,Cordulegastridae,Cordulegaster sp.,BIGC,Cordulegaster,2,1,Cord,sent to Scot on June 25 2021
BIGC_A73_Gomp,A,73,Odonata,Gomphidae,Gomphidae sp.,BIGC,NA,15,2,Gomp,sent to Scot on June 25 2021
BIGC_A74_Swel,A,74,Plecoptera,Chloroperlidae,Sweltsa sp.,BIGC,Sweltsa,41,3,Swel,sent to Scot on June 25 2021
BIGC_A75_Leuc,A,75,Plecoptera,Leuctridae,Leuctridae sp.,BIGC,NA,2,1,Leuc,sent to Scot on June 25 2021
MART_B1_Tipu,B,1,Diptera,Tipulidae,Tipula sp.,MART,Tipula,2,1,Tipu,sent to Scot on June 25 2021
MART_B2_Swel,B,2,Plecoptera,Chloroperlidae,Sweltsa sp.,MART,Sweltsa,27,4,Swel,sent to Scot on June 25 2021
MART_B3_Drun,B,3,Ephemeroptera,Ephemerellidae,Drunella doddsii,MART,Drunella,28,1,Drun,sent to Scot on June 25 2021
MART_B4_Narp,B,4,Coleoptera,Elmidae,Narpus sp.,MART,Narpus,2,2,Narp,sent to Scot on June 25 2021
MART_B5_Ecto,B,5,Coleoptera,Psephenidae,Ectopria sp.,MART,Ectopria,1,1,Ecto,sent to Scot on June 25 2021
POSE_B11_Opti,B,11,Coleoptera,Elmidae,Optioservus sp.,POSE,Optioservus,168,1,Opti,sent to Scot on June 25 2021
POSE_B12_Para,B,12,Ephemeroptera,Leptophlebiidae,Paraleptophlebia sp.,POSE,Paraleptophlebia,12,1,Para,sent to Scot on June 25 2021
